u,y,t,dt
3.1241561959420765,0.0002461655935301,0.0170000160379779,0.0
2.950645749971889,0.0005774586158991,0.028999991981011,0.011999975943033103
2.947796810935858,0.000610705001227,0.03,0.001000008018988998
2.9611927910838447,0.0007518311473306,0.033999991981011,0.003999991981011003
2.944329402054203,0.000789152118058,0.035,0.0010000080189890015
1.755222384357526,0.0011587736075708,0.043999991981011,0.008999991981010994
0.5755565094821645,0.0015158711523455,0.0520000160379779,0.008000024056966905
0.8398136259813032,0.0024999433819181,0.075,0.022999983962022096
0.9085193916928904,0.0031675363022233,0.0910000080189889,0.016000008018988904
0.8266852320546305,0.0035055134703165,0.098999991981011,0.007999983962022103
0.8082819110285662,0.0036746051624097,0.102999983962022,0.003999991981010989
0.8526046175895815,0.0043486148911696,0.118999991981011,0.016000008018989
0.8659441934817714,0.0044326632938894,0.1210000080189889,0.002000016037977906
0.8677322588356572,0.0046849865662477,0.1270000160379779,0.006000008018988992
0.8385515917407331,0.0049799677585482,0.133999991981011,0.006999975943033115
0.781383180338004,0.0055289429371129,0.1470000160379779,0.013000024056966902
0.7856756406466149,0.0056553695219991,0.15,0.0029999839620220847
0.8614235153351975,0.0063703386860151,0.1670000160379779,0.017000016037977905
0.8660250655027165,0.0064123445332584,0.1680000240569669,0.0010000080189890015
0.8854365281256714,0.0069168101468398,0.18,0.011999975943033092
0.8158500511198888,0.0075073117476173,0.193999991981011,0.013999991981011012
0.7740403784459908,0.007718634945701,0.198999991981011,0.0050000000000000044
0.7688928816484787,0.0077608995789531,0.2,0.0010000080189890015
0.7698431883769654,0.00809859739661,0.2080000240569669,0.008000024056966898
0.7834196210401744,0.0081827904136216,0.21,0.0019999759430330832
0.8221904707052347,0.0084770992143066,0.2170000160379779,0.007000016037977896
0.8347472431963144,0.0086452353904237,0.2210000080189889,0.003999991981011003
0.8683619571321293,0.0090234675556586,0.23,0.008999991981011118
0.8435402241460193,0.0097390093255013,0.2470000160379779,0.017000016037977878
0.82591106758933,0.0098656321989312,0.25,0.0029999839620221125
0.7834832151976849,0.0102457949899335,0.258999991981011,0.00899999198101098
0.8079900990379442,0.0110463531485097,0.2779999839620221,0.0189999919810111
