u,y,t,dt
3.173138287544266,0.0002451,0.0170000080194391,0.0
2.9738066059220385,0.0005767,0.0290000160388782,0.0120000080194391
2.975094142443111,0.00061,0.03,0.0009999839611217996
2.9904399319829533,0.00075105,0.0340000160388782,0.004000016038878201
2.97552635234662,0.0007884,0.035,0.000999983961121803
1.8161401890872737,0.00115755,0.0440000160388782,0.009000016038878199
0.6001934612822947,0.00151475,0.0520000080194391,0.007999991980560901
0.7310980135190761,0.0025030499999999,0.075,0.022999991980560894
0.9827940501782914,0.00316705,0.0910000240583173,0.016000024058317297
0.883466561227272,0.0035042,0.0990000160388782,0.007999991980560908
0.8368184816147023,0.0036734,0.1030000320777564,0.004000016038878201
0.7590687219536413,0.0043497499999999,0.1190000160388782,0.015999983961121803
0.7568098227016989,0.0044342,0.1210000240583173,0.002000008019439087
0.7398103644387417,0.0046875,0.1270000080194391,0.005999983961121794
0.7593199769447554,0.0049824499999999,0.1340000160388782,0.007000008019439119
0.8200875562070201,0.00552905,0.1470000080194391,0.012999991980560899
0.8319423973166139,0.0056551,0.15,0.00299999198056089
0.8546266600760525,0.0063698999999999,0.1670000080194391,0.0170000080194391
0.8472924971144211,0.00641205,0.1680000320777565,0.0010000240583173947
0.7784888235097182,0.00691845,0.18,0.011999967922243504
0.7563533870250938,0.00750945,0.1940000160388782,0.01400001603887821
0.7720356138328975,0.00771995,0.1990000160388782,0.0050000000000000044
0.7746873546074178,0.007762,0.2,0.000999983961121803
0.8080738507038134,0.0080984,0.2080000320777564,0.008000032077756403
0.8153271416459202,0.0081824499999999,0.21,0.0019999679222435784
0.8494878022116268,0.0084764,0.2170000080194391,0.007000008019439119
0.8579080991456579,0.0086445,0.2210000240583173,0.004000016038878201
0.8298944380426191,0.0090235,0.23,0.008999975941682697
0.7399634695495726,0.0097415,0.2470000080194391,0.0170000080194391
0.7425429772363035,0.0098681,0.25,0.00299999198056089
0.7753921656344394,0.0102471,0.2590000160388782,0.009000016038878178
0.8569721906385871,0.01104525,0.2780000320777565,0.019000016038878298
0.8542395778445087,0.0111294,0.28,0.0019999679222435507
0.8502590870389529,0.0112556999999999,0.2830000320777565,0.0030000320777564538
0.8198305419324468,0.0115928,0.2910000240583174,0.007999991980560894
0.7375543448358183,0.0124797,0.3120000080194391,0.020999983961121738
0.7498828994876158,0.0126060499999999,0.315,0.00299999198056089
0.7813195861910126,0.0129425,0.3230000320777564,0.008000032077756403
0.8012105216436882,0.0130685,0.3260000240583173,0.00299999198056089
0.8561113948635204,0.0136985499999999,0.3410000240583173,0.015000000000000013
0.8374625781347037,0.0139091499999999,0.3460000240583173,0.0050000000000000044
0.734504003252487,0.0147958,0.3670000080194391,0.020999983961121793
0.7452755900338298,0.0150487,0.3730000320777565,0.006000024058317399
-0.6085296908638941,0.0160526499999999,0.3970000080194391,0.023999975941682572
-1.8667073267497185,0.0168034,0.4230000320777565,0.026000024058317417
-1.704439582861674,0.0168713999999999,0.4280000320777565,0.0050000000000000044
-1.5434712623859017,0.0169456999999999,0.4380000320777565,0.010000000000000009
0.9615002674105542,0.01695665,0.4470000080194391,0.008999975941682614
3.882284285576763,0.0170024,0.4590000160388782,0.012000008019439068
4.027578648248785,0.0171001499999999,0.4660000240583173,0.007000008019439119
